TRAIT,LOD,CHR,pos_low,pos_high,QxE,Index,Overlap0,Overlap1,Overlap2,Overlap3,Overlap4,Group,TRAIT
P31,8.063427642,9K,60.897097,63.87085,No,am,P,Ca,,,,macronutrient,P31
P31,3.564543662,9N,2.370466,18.617122,No,an,P,Rb,K,,,macronutrient,P31
Rb85,6.835452467,1K,16.071535,28.760266,No,b,Rb,,,,,non-essential analogue,Rb85
Rb85,8.849043268,2N,19.748692,33.563404,Yes,j,Rb,Zn,,,,non-essential analogue,Rb85
Rb85,6.681201341,2N,57.985512,61.027669,Yes,l,Rb,P,Cd,,,non-essential analogue,Rb85
Rb85,4.243460304,5K,58.488157,60.232411,Yes,y,Rb,,,,,non-essential analogue,Rb85
Rb85,4.327369317,7N,21.662925,37.391059,No,ae,Rb,Sr,,,,non-essential analogue,Rb85
Rb85,4.091101757,8N,3.180385,13.167118,Yes,ai,Rb,,,,,non-essential analogue,Rb85
Rb85,6.775187884,9N,9.380976,13.689487,Yes,an,Rb,P,,,,non-essential analogue,Rb85
Rb85,3.866062571,9N,27.846586,53.92243,No,an,Rb,Sr,,,,non-essential analogue,Rb85
Sr88,4.833440042,2K,11.988568,16.719373,Yes,g,Sr,Cd,,,,non-essential analogue,Sr88
Sr88,4.610028999,2N,9.138421,19.748692,Yes,j,Sr,Ca,Zn,,,non-essential analogue,Sr88
Sr88,4.749293615,5K,4.388419,13.398535,No,w,Sr,Al,,,,non-essential analogue,Sr88
Sr88,7.090475599,7K,45.702064,50.993916,Yes,ad,Sr,Fe,Al,Ca,Mn,non-essential analogue,Sr88
Sr88,4.953406451,7N,14.15224,29.819179,Yes,ae,Sr,Rb,,,,non-essential analogue,Sr88
Sr88,9.343129125,8K,46.664101,53.831953,Yes,ah,Sr,,,,,non-essential analogue,Sr88
Sr88,6.788020206,9K,12.232945,16.740595,No,ak,Sr,,,,,non-essential analogue,Sr88
Sr88,17.51328575,9K,52.398172,55.282015,Yes,al,Sr,Al,,,,non-essential analogue,Sr88
Sr88,4.947592127,9N,23.737375,38.476459,Yes,an,Sr,Mo,Rb,,,non-essential analogue,Sr88
Zn66,6.40980137,2N,10.727803,21.063401,Yes,j,Zn,Ca,Sr,Rb,,micronutrient,Zn66
Zn66,4.373490437,3K,16.068781,22.359079,Yes,n,Zn,Cu,Mg,,,micronutrient,Zn66
Zn66,3.572961619,7K,33.913648,47.708677,No,ac,Zn,Cu,,,,micronutrient,Zn66
